Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Wed Sep 23 10:07:45 2026,1,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 93, 207, 107, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 5, 243, 1, 254, 160, 245, 220, 253, 53, 89, 17, 3, 30
Wed Sep 23 10:07:46 2026,2,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 97, 202, 105, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 5, 240, 1, 254, 160, 245, 217, 253, 53, 89, 39, 3, 28
Wed Sep 23 10:07:47 2026,3,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,202, 88, 206, 108, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 5, 242, 1, 254, 160, 245, 214, 253, 53, 89, 46, 3, 27
Wed Sep 23 10:07:48 2026,4,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,206, 95, 204, 105, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5, 242, 1, 254, 160, 245, 211, 253, 53, 89, 54, 3, 26
Wed Sep 23 10:07:49 2026,5,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 96, 207, 107, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 5, 246, 1, 254, 160, 245, 201, 253, 53, 89, 53, 3, 24
Wed Sep 23 10:07:49 2026,6,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 94, 207, 107, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 5, 246, 1, 254, 160, 245, 211, 253, 53, 89, 69, 3, 23
Wed Sep 23 10:07:50 2026,7,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,200, 83, 200, 100, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 5, 246, 1, 254, 160, 245, 226, 253, 53, 89, 76, 3, 22
Wed Sep 23 10:07:51 2026,8,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 93, 204, 105, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 5, 247, 1, 254, 160, 245, 236, 253, 53, 89, 77, 3, 21
Wed Sep 23 10:07:52 2026,9,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 93, 203, 103, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 5, 243, 1, 254, 160, 245, 238, 253, 53, 89, 79, 3, 21
Wed Sep 23 10:07:53 2026,10,7, 3, 7, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,206, 94, 203, 103, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 10, 0, 5, 249, 1, 254, 160, 245, 247, 253, 53, 89, 76, 3, 21
