Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Wed Sep 16 20:08:13 2026,1,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 133, 203, 150, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 32, 1, 254, 161, 12, 191, 253, 53, 151, 240, 3, 25
Wed Sep 16 20:08:19 2026,2,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,214, 143, 207, 155, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 36, 1, 254, 161, 12, 185, 253, 53, 151, 244, 3, 26
Wed Sep 16 20:08:24 2026,3,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,198, 117, 196, 153, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 42, 1, 254, 161, 12, 180, 253, 53, 151, 231, 3, 26
Wed Sep 16 20:08:29 2026,4,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 135, 203, 154, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 37, 1, 254, 161, 12, 176, 253, 53, 151, 227, 3, 26
Wed Sep 16 20:08:35 2026,5,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 135, 205, 155, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 48, 1, 254, 161, 12, 153, 253, 53, 151, 221, 3, 26
Wed Sep 16 20:08:40 2026,6,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,212, 137, 205, 153, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 38, 1, 254, 161, 12, 147, 253, 53, 151, 223, 3, 26
Wed Sep 16 20:08:46 2026,7,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,212, 139, 207, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 38, 1, 254, 161, 12, 152, 253, 53, 151, 226, 3, 25
Wed Sep 16 20:08:51 2026,8,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,212, 136, 207, 155, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 0, 38, 1, 254, 161, 12, 167, 253, 53, 151, 218, 3, 22
Wed Sep 16 20:08:56 2026,9,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,212, 139, 207, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 0, 36, 1, 254, 161, 12, 172, 253, 53, 151, 213, 3, 23
Wed Sep 16 20:09:02 2026,10,12, 1, 8, 20, 0, 10, 5, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,212, 138, 207, 158, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 9, 0, 0, 59, 1, 254, 161, 12, 194, 253, 53, 151, 211, 3, 24
