Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Fri Sep 18 16:33:40 2026,1,12, 1, 8, 14, 0, 10, 5, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,242, 152, 243, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 12, 19, 1, 254, 160, 246, 122, 253, 53, 89, 68, 2, 245
Fri Sep 18 16:33:46 2026,2,12, 1, 8, 14, 0, 10, 5, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,242, 162, 241, 151, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 12, 50, 1, 254, 160, 246, 109, 253, 53, 89, 85, 2, 244
Fri Sep 18 16:33:51 2026,3,12, 1, 8, 14, 0, 10, 5, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,248, 159, 243, 155, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 12, 65, 1, 254, 160, 246, 115, 253, 53, 89, 84, 2, 244
Fri Sep 18 16:33:56 2026,4,12, 1, 8, 14, 0, 10, 5, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,244, 157, 243, 154, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 11, 247, 1, 254, 160, 246, 116, 253, 53, 89, 80, 2, 244
Fri Sep 18 16:34:02 2026,5,12, 1, 8, 14, 0, 10, 5, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,244, 158, 247, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 11, 245, 1, 254, 160, 246, 125, 253, 53, 89, 73, 2, 245
Fri Sep 18 16:34:07 2026,6,12, 1, 8, 14, 0, 10, 5, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,246, 155, 247, 155, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 11, 219, 1, 254, 160, 246, 126, 253, 53, 89, 79, 2, 245
Fri Sep 18 16:34:15 2026,7,12, 1, 8, 14, 0, 10, 5, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Fri Sep 18 16:34:22 2026,8,12, 1, 8, 14, 0, 10, 5, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Fri Sep 18 16:34:29 2026,9,12, 1, 8, 14, 0, 10, 5, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Fri Sep 18 16:34:36 2026,10,12, 1, 8, 14, 0, 10, 5, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
