Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Fri Sep  4 16:46:28 2026,1,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,50, 159, 45, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 9, 192, 1
Fri Sep  4 16:46:28 2026,2,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,50, 158, 43, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 10, 183, 1
Fri Sep  4 16:46:29 2026,3,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,50, 160, 45, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 11, 6, 1
Fri Sep  4 16:46:30 2026,4,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,50, 159, 45, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 10, 73, 1
Fri Sep  4 16:46:31 2026,5,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,50, 156, 45, 162, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 9, 171, 1
Fri Sep  4 16:46:32 2026,6,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,50, 158, 43, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 10, 240, 1
Fri Sep  4 16:46:33 2026,7,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,50, 158, 45, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 10, 80, 1
Fri Sep  4 16:46:34 2026,8,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,50, 159, 45, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 11, 13, 1
Fri Sep  4 16:46:36 2026,9,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Fri Sep  4 16:46:36 2026,10,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,52, 158, 45, 160, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 9, 210, 1
Fri Sep  4 16:46:37 2026,11,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0,50, 158, 45, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 10, 0, 10, 246, 1
Fri Sep  4 16:46:38 2026,12,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0,52, 158, 43, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 11, 0, 9, 212, 1
Fri Sep  4 16:46:39 2026,13,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0,52, 157, 47, 161, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 12, 0, 10, 122, 1
Fri Sep  4 16:46:40 2026,14,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0,50, 157, 43, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 13, 0, 9, 207, 1
Fri Sep  4 16:46:41 2026,15,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0,52, 158, 49, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 14, 0, 11, 3, 1
Fri Sep  4 16:46:43 2026,16,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Fri Sep  4 16:46:43 2026,17,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0,56, 156, 51, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 15, 0, 9, 175, 1
Fri Sep  4 16:46:44 2026,18,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0,54, 158, 51, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 16, 0, 11, 10, 1
Fri Sep  4 16:46:45 2026,19,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0,56, 158, 51, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 17, 0, 9, 171, 1
Fri Sep  4 16:46:46 2026,20,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0,54, 158, 51, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 18, 0, 10, 254, 1
Fri Sep  4 16:46:47 2026,21,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0,54, 157, 51, 161, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 19, 0, 10, 72, 1
Fri Sep  4 16:46:48 2026,22,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0,56, 159, 51, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 20, 0, 10, 204, 1
Fri Sep  4 16:46:49 2026,23,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0,54, 157, 51, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 21, 0, 9, 205, 1
Fri Sep  4 16:46:50 2026,24,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0,54, 158, 51, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 22, 0, 11, 31, 1
Fri Sep  4 16:46:50 2026,25,7, 1, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0,54, 157, 51, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 23, 0, 10, 70, 1
