Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Sat Sep 12 10:31:04 2026,1,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,74, 143, 72, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 12, 48, 1
Sat Sep 12 10:31:07 2026,2,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,74, 142, 72, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 12, 106, 1
Sat Sep 12 10:31:09 2026,3,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,74, 142, 72, 145, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 12, 112, 1
Sat Sep 12 10:31:11 2026,4,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,74, 142, 72, 144, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 12, 19, 1
Sat Sep 12 10:31:13 2026,5,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,74, 141, 72, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 12, 51, 1
Sat Sep 12 10:31:15 2026,6,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,74, 142, 75, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 11, 251, 1
Sat Sep 12 10:31:17 2026,7,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,74, 142, 75, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 12, 102, 1
Sat Sep 12 10:31:20 2026,8,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Sat Sep 12 10:31:22 2026,9,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Sat Sep 12 10:31:24 2026,10,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,72, 142, 72, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 12, 94, 1
Sat Sep 12 10:31:26 2026,11,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0,74, 142, 75, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 10, 0, 12, 119, 1
Sat Sep 12 10:31:27 2026,12,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0,76, 142, 75, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 11, 0, 12, 80, 1
Sat Sep 12 10:31:29 2026,13,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0,74, 142, 75, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 12, 0, 12, 93, 1
Sat Sep 12 10:31:31 2026,14,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Sat Sep 12 10:31:33 2026,15,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0,76, 142, 75, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 15, 0, 11, 233, 1
Sat Sep 12 10:31:35 2026,16,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0,74, 140, 72, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 16, 0, 11, 231, 1
Sat Sep 12 10:31:37 2026,17,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0,72, 142, 72, 144, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 17, 0, 11, 231, 1
Sat Sep 12 10:31:39 2026,18,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0,72, 140, 70, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 18, 0, 12, 67, 1
Sat Sep 12 10:31:42 2026,19,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0,64, 142, 62, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 19, 0, 12, 135, 1
Sat Sep 12 10:31:44 2026,20,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0,66, 142, 66, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 20, 0, 12, 51, 1
Sat Sep 12 10:31:46 2026,21,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0,68, 137, 66, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 21, 0, 12, 144, 1
Sat Sep 12 10:31:48 2026,22,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0,70, 139, 70, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 22, 0, 12, 39, 1
Sat Sep 12 10:31:51 2026,23,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0,70, 139, 70, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 23, 0, 12, 32, 1
Sat Sep 12 10:31:53 2026,24,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0,72, 140, 70, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 24, 0, 12, 111, 1
Sat Sep 12 10:31:56 2026,25,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0,70, 140, 70, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 25, 0, 12, 82, 1
Sat Sep 12 10:31:58 2026,26,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0,70, 140, 70, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 26, 0, 12, 89, 1
Sat Sep 12 10:32:00 2026,27,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0,70, 140, 70, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 27, 0, 12, 28, 1
Sat Sep 12 10:32:03 2026,28,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Sat Sep 12 10:32:04 2026,29,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0,70, 140, 70, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 28, 0, 12, 103, 1
Sat Sep 12 10:32:06 2026,30,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0,70, 140, 68, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 29, 0, 12, 90, 1
Sat Sep 12 10:32:07 2026,31,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0,72, 141, 72, 144, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 30, 0, 12, 103, 1
Sat Sep 12 10:32:09 2026,32,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0,72, 141, 72, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 31, 0, 12, 58, 1
Sat Sep 12 10:32:10 2026,33,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0,74, 142, 72, 145, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 32, 0, 12, 16, 1
Sat Sep 12 10:32:11 2026,34,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0,74, 140, 70, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 33, 0, 11, 226, 1
Sat Sep 12 10:32:13 2026,35,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0,72, 142, 72, 144, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 34, 0, 12, 35, 1
Sat Sep 12 10:32:15 2026,36,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0,74, 140, 70, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 35, 0, 11, 240, 1
Sat Sep 12 10:32:16 2026,37,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0,72, 141, 70, 144, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 36, 0, 12, 41, 1
Sat Sep 12 10:32:17 2026,38,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0,72, 140, 72, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 37, 0, 12, 61, 1
Sat Sep 12 10:32:19 2026,39,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0,72, 142, 72, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 38, 0, 12, 9, 1
Sat Sep 12 10:32:20 2026,40,7, 3, 5, 17, 0, 100, 1, 4, 1, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0,74, 140, 72, 144, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 39, 0, 12, 48, 1
