Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Sat Sep 12 10:52:38 2026,1,12, 1, 8, 17, 0, 10, 4, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,64, 165, 62, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 12, 151, 1
Sat Sep 12 10:52:44 2026,2,12, 1, 8, 17, 0, 10, 4, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,64, 167, 62, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 12, 130, 1
Sat Sep 12 10:52:50 2026,3,12, 1, 8, 17, 0, 10, 4, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,64, 172, 60, 168, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 12, 162, 1
Sat Sep 12 10:52:55 2026,4,12, 1, 8, 17, 0, 10, 4, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,64, 169, 62, 167, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 12, 159, 1
Sat Sep 12 10:53:01 2026,5,12, 1, 8, 17, 0, 10, 4, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,64, 172, 60, 166, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 12, 69, 1
Sat Sep 12 10:53:06 2026,6,12, 1, 8, 17, 0, 10, 4, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,64, 171, 60, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 12, 64, 1
Sat Sep 12 10:53:12 2026,7,12, 1, 8, 17, 0, 10, 4, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,64, 169, 62, 165, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 12, 128, 1
Sat Sep 12 10:53:18 2026,8,12, 1, 8, 17, 0, 10, 4, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,64, 171, 60, 163, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 12, 150, 1
Sat Sep 12 10:53:23 2026,9,12, 1, 8, 17, 0, 10, 4, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,64, 170, 62, 167, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 12, 159, 1
Sat Sep 12 10:53:29 2026,10,12, 1, 8, 17, 0, 10, 4, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,64, 168, 62, 161, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 9, 0, 12, 133, 1
