Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Wed Sep 16 13:36:30 2026,1,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,184, 84, 185, 138, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 7, 144, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wed Sep 16 13:36:36 2026,2,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,182, 81, 190, 145, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 7, 143, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wed Sep 16 13:36:41 2026,3,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,186, 86, 192, 145, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 7, 143, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wed Sep 16 13:36:47 2026,4,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,198, 110, 200, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 7, 143, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wed Sep 16 13:36:52 2026,5,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,188, 95, 200, 154, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 7, 139, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wed Sep 16 13:36:58 2026,6,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,178, 76, 207, 154, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 7, 141, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wed Sep 16 13:37:03 2026,7,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,192, 97, 200, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 7, 139, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wed Sep 16 13:37:08 2026,8,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,212, 123, 209, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 7, 139, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wed Sep 16 13:37:14 2026,9,12, 1, 8, 20, 0, 10, 5, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,200, 116, 203, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 7, 141, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Wed Sep 16 13:37:19 2026,10,12, 1, 8, 20, 0, 10, 5, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,202, 114, 203, 154, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 9, 0, 7, 138, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
