Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Sat Sep 19 09:40:55 2026,1,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,220, 114, 228, 124, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 6, 112, 1, 254, 160, 246, 32, 253, 53, 89, 58, 3, 6
Sat Sep 19 09:40:56 2026,2,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,218, 110, 230, 126, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 6, 113, 1, 254, 160, 246, 32, 253, 53, 89, 59, 3, 6
Sat Sep 19 09:40:57 2026,3,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,222, 113, 228, 126, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 6, 134, 1, 254, 160, 246, 32, 253, 53, 89, 59, 3, 6
Sat Sep 19 09:40:58 2026,4,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,224, 117, 230, 128, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 6, 166, 1, 254, 160, 246, 32, 253, 53, 89, 59, 3, 6
Sat Sep 19 09:40:58 2026,5,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,220, 112, 230, 127, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6, 153, 1, 254, 160, 246, 32, 253, 53, 89, 58, 3, 6
Sat Sep 19 09:40:59 2026,6,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,222, 113, 230, 126, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 6, 170, 1, 254, 160, 246, 32, 253, 53, 89, 58, 3, 6
Sat Sep 19 09:41:00 2026,7,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,220, 111, 230, 125, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 6, 179, 1, 254, 160, 246, 32, 253, 53, 89, 58, 3, 5
Sat Sep 19 09:41:01 2026,8,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,218, 112, 230, 126, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 6, 174, 1, 254, 160, 246, 32, 253, 53, 89, 57, 3, 5
Sat Sep 19 09:41:02 2026,9,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,220, 112, 230, 126, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 6, 166, 1, 254, 160, 246, 32, 253, 53, 89, 56, 3, 5
Sat Sep 19 09:41:03 2026,10,7, 3, 5, 17, 0, 50, 1, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,220, 111, 230, 126, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 10, 0, 6, 171, 1, 254, 160, 246, 33, 253, 53, 89, 56, 3, 5
