Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Mon Sep 21 19:35:50 2026,1,12, 1, 8, 2, 0, 10, 5, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,174, 58, 173, 74, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 254, 160, 246, 54, 253, 53, 89, 68, 3, 25
Mon Sep 21 19:35:55 2026,2,12, 1, 8, 2, 0, 10, 5, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,178, 61, 176, 77, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 254, 160, 246, 55, 253, 53, 89, 67, 3, 25
Mon Sep 21 19:36:01 2026,3,12, 1, 8, 2, 0, 10, 5, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,174, 58, 175, 74, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 254, 160, 246, 52, 253, 53, 89, 69, 3, 24
Mon Sep 21 19:36:06 2026,4,12, 1, 8, 2, 0, 10, 5, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,174, 56, 175, 75, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 1, 254, 160, 246, 52, 253, 53, 89, 70, 3, 22
Mon Sep 21 19:36:12 2026,5,12, 1, 8, 2, 0, 10, 5, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,174, 56, 173, 74, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1, 254, 160, 246, 54, 253, 53, 89, 69, 3, 21
Mon Sep 21 19:36:17 2026,6,12, 1, 8, 2, 0, 10, 5, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,174, 55, 176, 76, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 1, 254, 160, 246, 53, 253, 53, 89, 69, 3, 20
Mon Sep 21 19:36:23 2026,7,12, 1, 8, 2, 0, 10, 5, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,176, 58, 174, 76, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 1, 254, 160, 246, 52, 253, 53, 89, 72, 3, 19
Mon Sep 21 19:36:28 2026,8,12, 1, 8, 2, 0, 10, 5, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,178, 61, 176, 76, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 0, 0, 1, 254, 160, 246, 52, 253, 53, 89, 73, 3, 19
Mon Sep 21 19:36:33 2026,9,12, 1, 8, 2, 0, 10, 5, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,176, 61, 176, 77, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 0, 0, 1, 254, 160, 246, 50, 253, 53, 89, 75, 3, 18
Mon Sep 21 19:36:39 2026,10,12, 1, 8, 2, 0, 10, 5, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,174, 54, 176, 76, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 10, 0, 0, 0, 1, 254, 160, 246, 47, 253, 53, 89, 78, 3, 17
