Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Fri Sep 18 18:32:23 2026,1,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 97, 208, 109, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 254, 160, 246, 57, 253, 53, 89, 92, 3, 17
Fri Sep 18 18:32:24 2026,2,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,214, 103, 214, 117, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 254, 160, 246, 57, 253, 53, 89, 93, 3, 17
Fri Sep 18 18:32:25 2026,3,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 100, 210, 113, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 254, 160, 246, 57, 253, 53, 89, 93, 3, 17
Fri Sep 18 18:32:26 2026,4,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 98, 209, 111, 0, 0, 0, 6, 0, 64, 1, 0, 128, 0, 0, 4, 0, 0, 2, 8, 254, 160, 246, 57, 253, 53, 217, 94, 3, 18
Fri Sep 18 18:32:27 2026,5,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 96, 205, 106, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1, 254, 160, 246, 56, 253, 53, 217, 94, 3, 18
Fri Sep 18 18:32:29 2026,6,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Fri Sep 18 18:32:30 2026,7,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,228, 96, 213, 115, 3, 0, 8, 0, 101, 1, 1, 96, 9, 0, 1, 0, 0, 144, 96, 33, 254, 169, 60, 48, 237, 55, 89, 95, 3, 18
Fri Sep 18 18:32:30 2026,8,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,214, 103, 206, 109, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 1, 254, 160, 246, 56, 253, 53, 89, 96, 3, 18
Fri Sep 18 18:32:31 2026,9,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 171, 205, 107, 0, 0, 0, 0, 0, 64, 1, 0, 128, 0, 0, 14, 0, 0, 2, 1, 254, 160, 243, 184, 253, 52, 83, 96, 3, 18
Fri Sep 18 18:32:32 2026,10,7, 3, 5, 20, 39, 16, 1, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 96, 204, 108, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 8, 12, 0, 0, 1, 254, 160, 54, 56, 253, 53, 217, 96, 3, 18
