Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Wed Sep  2 18:53:28 2026,1,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,76, 155, 70, 173, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 6, 19, 1
Wed Sep  2 18:53:32 2026,2,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,76, 156, 70, 167, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 5, 106, 1
Wed Sep  2 18:53:37 2026,3,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,76, 159, 70, 168, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 5, 226, 1
Wed Sep  2 18:53:42 2026,4,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,74, 162, 68, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5, 78, 1
Wed Sep  2 18:53:46 2026,5,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,74, 168, 68, 165, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6, 147, 1
Wed Sep  2 18:53:51 2026,6,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,74, 164, 68, 162, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 5, 129, 1
Wed Sep  2 18:53:56 2026,7,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,74, 163, 70, 167, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 5, 255, 1
Wed Sep  2 18:54:01 2026,8,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,74, 168, 68, 166, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 6, 127, 1
Wed Sep  2 18:54:05 2026,9,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,76, 157, 70, 166, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 5, 125, 1
Wed Sep  2 18:54:10 2026,10,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,76, 154, 66, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 10, 0, 5, 125, 1
Wed Sep  2 18:54:15 2026,11,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0,72, 160, 64, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 11, 0, 6, 42, 1
Wed Sep  2 18:54:20 2026,12,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0,74, 162, 72, 154, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 12, 0, 5, 211, 1
Wed Sep  2 18:54:24 2026,13,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0,82, 158, 77, 160, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 13, 0, 5, 111, 1
Wed Sep  2 18:54:29 2026,14,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0,82, 158, 79, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 14, 0, 5, 138, 1
Wed Sep  2 18:54:34 2026,15,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0,82, 157, 77, 160, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 15, 0, 6, 158, 1
Wed Sep  2 18:54:38 2026,16,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0,82, 157, 77, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 16, 0, 5, 136, 1
Wed Sep  2 18:54:43 2026,17,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0,82, 158, 77, 161, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 17, 0, 6, 34, 1
Wed Sep  2 18:54:48 2026,18,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0,82, 157, 77, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 18, 0, 5, 192, 1
Wed Sep  2 18:54:52 2026,19,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0,82, 157, 75, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 19, 0, 6, 62, 1
Wed Sep  2 18:54:57 2026,20,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0,82, 156, 72, 155, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 20, 0, 6, 75, 1
Wed Sep  2 18:55:02 2026,21,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0,78, 155, 79, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 21, 0, 6, 58, 1
Wed Sep  2 18:55:06 2026,22,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0,80, 155, 77, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 22, 0, 6, 108, 1
Wed Sep  2 18:55:11 2026,23,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0,80, 156, 77, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 23, 0, 5, 240, 1
Wed Sep  2 18:55:16 2026,24,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0,80, 158, 77, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 24, 0, 5, 189, 1
Wed Sep  2 18:55:21 2026,25,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0,80, 157, 77, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 25, 0, 6, 105, 1
