Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Wed Sep  2 19:18:20 2026,1,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,32, 161, 28, 167, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 129, 1
Wed Sep  2 19:18:25 2026,2,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,32, 167, 28, 163, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 136, 1
Wed Sep  2 19:18:30 2026,3,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,32, 160, 23, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 2, 128, 1
Wed Sep  2 19:18:34 2026,4,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,32, 160, 23, 166, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 2, 126, 1
Wed Sep  2 19:18:39 2026,5,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,32, 161, 32, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 2, 131, 1
Wed Sep  2 19:18:44 2026,6,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,38, 156, 32, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 2, 128, 1
Wed Sep  2 19:18:49 2026,7,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,38, 156, 32, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 2, 128, 1
Wed Sep  2 19:18:53 2026,8,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,36, 155, 30, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 2, 127, 1
Wed Sep  2 19:18:58 2026,9,12, 1, 8, 20, 0, 10, 4, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,36, 156, 32, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 2, 127, 1
Wed Sep  2 19:19:03 2026,10,12, 1, 8, 20, 0, 10, 4, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,36, 155, 32, 159, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 9, 0, 2, 128, 1
