Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Wed Sep 23 16:21:28 2026,1,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,88, 155, 83, 167, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 120, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:21:34 2026,2,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,70, 159, 68, 161, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 14, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:21:39 2026,3,12, 1, 8, 20, 0, 30, 5, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 160, 92, 162, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 63, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:21:44 2026,4,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,84, 161, 81, 163, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 80, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:21:50 2026,5,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,72, 159, 64, 159, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 15, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:21:55 2026,6,12, 1, 8, 20, 0, 30, 5, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 159, 92, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 84, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:22:00 2026,7,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,88, 162, 81, 165, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 89, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:22:05 2026,8,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,72, 162, 68, 162, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 15, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:22:11 2026,9,12, 1, 8, 20, 0, 30, 5, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 160, 92, 168, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 73, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:22:16 2026,10,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,88, 158, 81, 166, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 70, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:22:22 2026,11,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,72, 162, 66, 162, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 15, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:22:27 2026,12,12, 1, 8, 20, 0, 30, 5, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 160, 92, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 54, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:22:32 2026,13,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,88, 160, 81, 165, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 88, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:22:38 2026,14,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,74, 164, 68, 163, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 15, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:22:43 2026,15,12, 1, 8, 20, 0, 30, 5, 4, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 160, 92, 165, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 41, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:22:48 2026,16,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,88, 159, 81, 166, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 124, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:22:54 2026,17,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,72, 168, 68, 161, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 16, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:22:59 2026,18,12, 1, 8, 20, 0, 30, 5, 4, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 159, 92, 166, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 77, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:23:04 2026,19,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,86, 157, 81, 165, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 107, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:23:10 2026,20,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,72, 164, 68, 163, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 15, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:23:15 2026,21,12, 1, 8, 20, 0, 30, 5, 4, 1, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 161, 92, 166, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 51, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:23:21 2026,22,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,88, 158, 81, 165, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 75, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:23:26 2026,23,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,72, 159, 66, 161, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 15, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:23:31 2026,24,12, 1, 8, 20, 0, 30, 5, 4, 1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 159, 92, 166, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 46, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:23:37 2026,25,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,84, 168, 83, 164, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 102, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:23:42 2026,26,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,70, 160, 68, 160, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 15, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:23:47 2026,27,12, 1, 8, 20, 0, 30, 5, 4, 1, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 160, 92, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 50, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:23:53 2026,28,12, 1, 8, 20, 0, 30, 5, 4, 2, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,84, 168, 81, 167, 0, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 70, 1, 254, 160, 245, 162, 253, 53, 89, 106, 3, 12
Wed Sep 23 16:23:58 2026,29,12, 1, 8, 20, 0, 30, 5, 4, 3, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,74, 159, 68, 161, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 15, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
Wed Sep 23 16:24:04 2026,30,12, 1, 8, 20, 0, 30, 5, 5, 1, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,98, 159, 92, 164, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 83, 1, 254, 160, 246, 206, 253, 53, 90, 150, 3, 7
