Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Mon Sep 21 19:31:35 2026,1,9, 1, 8, 20, 0, 10, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 119, 213, 124, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 254, 160, 246, 122, 253, 53, 89, 85, 3, 29
Mon Sep 21 19:31:37 2026,2,9, 1, 8, 20, 0, 10, 1, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 116, 215, 123, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 254, 160, 246, 121, 253, 53, 89, 85, 3, 29
Mon Sep 21 19:31:38 2026,3,9, 1, 8, 20, 0, 10, 1, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 113, 215, 123, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 254, 160, 246, 121, 253, 53, 89, 85, 3, 29
Mon Sep 21 19:31:40 2026,4,9, 1, 8, 20, 0, 10, 1, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 115, 213, 123, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 1, 254, 160, 246, 120, 253, 53, 89, 85, 3, 28
Mon Sep 21 19:31:41 2026,5,9, 1, 8, 20, 0, 10, 1, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,206, 112, 215, 123, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1, 254, 160, 246, 118, 253, 53, 89, 83, 3, 28
Mon Sep 21 19:31:43 2026,6,9, 1, 8, 20, 0, 10, 1, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,206, 111, 217, 123, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 1, 254, 160, 246, 116, 253, 53, 89, 83, 3, 28
Mon Sep 21 19:31:44 2026,7,9, 1, 8, 20, 0, 10, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,206, 111, 215, 124, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 1, 254, 160, 246, 115, 253, 53, 89, 82, 3, 28
Mon Sep 21 19:31:46 2026,8,9, 1, 8, 20, 0, 10, 1, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,210, 114, 215, 125, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 0, 0, 1, 254, 160, 246, 114, 253, 53, 89, 81, 3, 28
Mon Sep 21 19:31:47 2026,9,9, 1, 8, 20, 0, 10, 1, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 114, 217, 123, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 0, 0, 1, 254, 160, 246, 113, 253, 53, 89, 81, 3, 28
Mon Sep 21 19:31:49 2026,10,9, 1, 8, 20, 0, 10, 1, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,208, 113, 215, 121, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 10, 0, 0, 0, 1, 254, 160, 246, 112, 253, 53, 89, 80, 3, 28
