Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29
Wed Sep 23 07:56:46 2026,1,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,198, 104, 209, 120, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 115, 1, 254, 160, 246, 177, 253, 53, 88, 166, 3, 57
Wed Sep 23 07:56:47 2026,2,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,194, 95, 193, 107, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 117, 1, 254, 160, 246, 181, 253, 53, 88, 172, 3, 57
Wed Sep 23 07:56:48 2026,3,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,202, 111, 196, 113, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 2, 113, 1, 254, 160, 246, 189, 253, 53, 88, 146, 3, 60
Wed Sep 23 07:56:49 2026,4,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,204, 109, 195, 110, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 2, 119, 1, 254, 160, 246, 189, 253, 53, 88, 147, 3, 61
Wed Sep 23 07:56:50 2026,5,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,200, 108, 198, 112, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 2, 117, 1, 254, 160, 246, 191, 253, 53, 88, 145, 3, 61
Wed Sep 23 07:56:50 2026,6,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,198, 104, 197, 114, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 2, 113, 1, 254, 160, 246, 186, 253, 53, 88, 154, 3, 61
Wed Sep 23 07:56:51 2026,7,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,196, 97, 194, 109, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 2, 114, 1, 254, 160, 246, 185, 253, 53, 88, 169, 3, 59
Wed Sep 23 07:56:52 2026,8,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,202, 111, 194, 109, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 2, 116, 1, 254, 160, 246, 173, 253, 53, 88, 171, 3, 57
Wed Sep 23 07:56:53 2026,9,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,200, 107, 198, 112, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 2, 115, 1, 254, 160, 246, 173, 253, 53, 88, 171, 3, 57
Wed Sep 23 07:56:54 2026,10,7, 1, 8, 20, 0, 20, 1, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,192, 94, 201, 119, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 10, 0, 2, 119, 1, 254, 160, 246, 164, 253, 53, 88, 173, 3, 56
